category,item,price,expense_date,last_updated
أعمال ترميم ونظافة وتجميل,توريد 30 مشترك Y لصرف التكييفات بالعمارة وماسورة 3 متر و5جلب عدل مقاس 3/4,375,,
أعمال ترميم ونظافة وتجميل,خرطوم 50 متر ايطالي 15 بار نصف بوصة خدمة شاقة لزوم نظافة العمارة بالداخل والخارج والسطح,999,,
أعمال ترميم ونظافة وتجميل,مجموعة رباط سريع خرطوم ورشاش ومسدس دفع مياه متعدد الانظمة من توتال,456,,
أعمال ترميم ونظافة وتجميل,ادوات نظافة ومنظفات للعمارة (شرشوبة, فوط, منظفات ارضيات ورخام وزجاج),498,,
أعمال ترميم ونظافة وتجميل,سلك مواعين خشن لزوم تنظيف الرخام والالمويتال وازالة اثار اللصق,20,,
أعمال ترميم ونظافة وتجميل,بكرة لصق عازل وشوش لحماية الانتركم والاكسس او الوشوش الكهربية مع التنظيف والتأهيل,45,,
أعمال ترميم ونظافة وتجميل,لافتات ارشادية قابلة للصق ومطبوعة وارقام بالمداخل والادوار وفايلات حماية مستندات فواتير ولافتات,806,,
أعمال ترميم ونظافة وتجميل,طقم مسامير تثبيت لافتات ارشادية,352,,
أعمال ترميم ونظافة وتجميل,الواح خشبية ابلكاش وMDF قطاعات صغيرة,283,,
أعمال ترميم ونظافة وتجميل,2 لوح فلين وحوامل بإطارات المويتال حجم وسط بالمدخل بديل اقتصادي للوحات اعلانات العمارة,1056,,
أعمال ترميم ونظافة وتجميل,2 لوح فلين وحوامل بإطارات المويتال حجم صغير للاسانسير وسلم الخدمات,376,,
أعمال ترميم ونظافة وتجميل,دواسات كاوتش بالمدخل عدد 2 للسلم والاسانسير,400,,
أعمال ترميم ونظافة وتجميل,مادة سد فراغات لمرمة فراغات مواسير الفايبر ناتج عن اعمال المصرية للاتصالات بسلم الخدمات,90,,
أعمال ترميم ونظافة وتجميل,انبوبة سليكون عضم,120,,
أعمال ترميم ونظافة وتجميل,رزة بديل تالف صندوق جهاز الكاميرات,25,,
أعمال ترميم ونظافة وتجميل,مسامير بورمة وفيشر وسن صاج وسنارة وخطاف وكلبسات ودبابيس لزوم التركيبات الكهربية واللافتات الارشادية,125,,
أعمال ترميم ونظافة وتجميل,ميديليات لزوم تقسيم وتوزيع شفرات بوابة,20,,
